H3_V_avg,H5_V_avg,H7_V_avg,H3_I_avg,H5_I_avg,H7_I_avg,U_THD,I_TDD
0.3538549534708122,0.34198393156253354,1.0866945878056935,1.798706489286981,1.940452994639817,3.9551061078522673,1.1929255906002623,2.2850396009599785
1.2342731728854686,1.2740921358314519,1.9359907191571444,1.2468887921014673,0.8859529041130129,0.8504194030130378,2.625795327239903,0.8403973901857731
0.9341162316807969,1.834531886362895,1.5788562975672775,1.649883009288548,3.448360865418756,2.8246806037186496,2.5943915634960706,2.282442628862263
1.299413159939372,1.9640990560441611,1.1121680099599491,2.695137009968351,0.8036097970503098,3.193830311242066,2.6044341697488655,2.043533604827715
1.0859365642122294,2.0129563357505265,1.4631459646267806,1.7202236442341998,2.2575093116903937,2.393965332977127,2.715151477346131,1.7829932634843095
1.3130049514564084,1.2460101689737355,2.113266832538921,1.8164546169472375,1.0273538470848145,1.869648874045099,2.782520449025323,1.345461752054408
0.9355036812614772,1.351575591763513,0.8435236179032851,1.8614215302297976,-0.47775320326502757,1.9403006550769604,1.8475540078344972,1.3113835396656917
0.7469800682121561,1.3381068910783083,1.5956829987558576,1.2395149392377725,1.051841476316718,1.6991181380311042,2.212399942771645,1.1292103530595945
1.710941872920885,0.886450613433313,0.2964333291545702,2.548648539945324,0.6690762820697433,1.1052392336618657,1.949612654145429,1.3721284879769187
1.4458936249760879,1.5868840486919031,1.3894372069430545,1.4621875125453627,4.655924457585041,3.224074612783713,2.5572143263279705,2.808663015390146
1.8175594851438401,1.064225138200455,0.3056934738791842,0.9352566228601933,3.4483971219419565,3.449054688234413,2.128273038589373,2.3847154411137317
1.4980636776845857,0.2272910819837363,0.3218702602582417,4.157281097545249,1.8011308944763207,1.0371759607599031,1.5490179091236846,2.231907833932297
0.2073860571000405,0.9680934743910945,1.8987477879682235,1.915690115781186,2.2709053030188064,2.1483627250828907,2.141368047336175,1.7605922158585212
0.9136898050632205,0.06793954993833254,1.4182006093117547,2.8087499663269604,4.273042776547733,3.4673333238328032,1.688412808105447,2.9667742499196237
1.3514189277897544,1.6226934862238132,1.4412054097094331,1.6716401465197683,0.4565103519162953,2.894549149001264,2.556665856461758,1.6200010042519961
0.5140131003139323,0.4393552761645778,1.60444498772567,3.293935378544219,4.06451749556862,0.7818109013288275,1.7411163788288302,2.5401368970015845
0.8062402010003569,1.923597412085567,2.0833984894849835,3.677993442688807,3.876762319293349,1.2011536796721085,2.9480162027166164,2.630145089045683
0.7409739152999925,0.06938792312830698,1.5268472835973612,1.2710515964699038,1.5598140369206128,3.692074974789128,1.698563997752131,2.019121981715131
0.26204024503626516,0.29330754977826606,1.2996419750863626,3.296042707498173,2.816270142911635,3.804668030354701,1.3578525958961736,2.7698277358075276
1.4081954580151752,1.0884724373949344,1.4359890861595923,1.4744951474181966,0.33548051599921086,3.1823112924277503,2.2868868250336525,1.691895267120887
1.0761007992649185,0.4185631727628203,1.2896638279467292,1.5489059619106014,0.8709044553753283,2.1494045122264986,1.7310172872868963,1.339189355387549
0.7384696357104982,1.7445515224933286,1.3190533688540529,3.93713992471544,-0.2621639884899052,2.5170766505234945,2.3083975410196165,2.247489399303225
1.2677756854396158,1.613993003482117,0.24537279707773108,2.9283290519771215,2.3982629875763384,3.751485208815747,2.0669872794545356,2.5590788763727423
1.3317104679039393,1.3313217455398152,1.855428466503307,1.038581816100148,1.04301846541624,0.6928605243920222,2.643574314216062,0.7812051296242325
1.688358774567464,0.7246629960912102,1.960535919323177,2.2891823158516207,-0.10804778423364003,3.543600032627357,2.6868927966182823,2.026481647935024
0.6173911413287646,0.5404840195930922,2.324760440140792,0.6562262059019738,3.2857770722091457,0.7363906482825532,2.4653206486926504,1.6473862075414651
1.5711316306135203,-0.12103254836861571,1.1571528640068434,0.6668070400337178,3.2244159701744897,3.3529079171234075,1.9550207746103725,2.2566025738893147
1.3972889636230932,1.569768261801005,1.9778023465665313,2.8893148489985934,2.0871655360322054,3.7680439606683933,2.8858778501012,2.4906808235093214
1.0129838001073568,1.101356982320401,0.0898387803627792,0.5678170209434888,2.127038880270853,2.8214767741730746,1.499064504363609,1.7185117395340699
1.0560460024610365,1.1864408033360163,1.8200353776217162,1.5462306631979534,2.4765242155903966,1.7799376022197524,2.4156580293843684,1.641984458759182
1.6002817151344844,0.5094293659813276,0.2854397344403862,4.194420839335545,0.9248835692374107,3.3864316906069845,1.7034951390348323,2.626495533307488
0.7787242906181602,0.7458456235731075,0.6046235755540024,3.3752511541538532,3.880772465118532,1.0129995815003239,1.23623091820162,2.517218120371249
0.8197129810470564,1.5583953189843287,1.7256412384980397,3.083044255155523,2.7944078366777108,-0.15568458333132124,2.4654336384365263,1.9995038499433346
1.4241794907178846,0.7177814646438734,1.1042555144646913,0.7468439603655939,2.6949738672268624,2.238465814228638,1.9398138297252747,1.7201176351145206
0.7645483431071349,1.2843429924798784,0.2778295737748807,0.7348935328008049,3.9540892651325517,3.186402160703642,1.5202829879150679,2.463942953149921
1.2969764921339562,1.872946306383922,0.6084364137045574,3.4312128597867964,2.573124116694204,1.1905469100369,2.3580226371404795,2.137376298663736
1.7420102338778958,1.199278971232507,0.17310801310981663,3.701753290391948,1.6286375234901893,1.063693178277583,2.1219887110865243,2.008063689391059
0.7795971332391425,0.7164439463611886,1.2062611198758766,3.9110858635939043,3.426946789239469,2.5987234188054003,1.605032556603288,2.7915190535854553
1.2235553250475193,0.31662306688293473,0.9631932916673959,2.519297213531167,1.4544013599676873,2.749044695014366,1.5890497528546956,1.9219596930930292
0.40902041222183944,0.22899527942567527,1.4659356499328098,1.686659557344281,3.194937235253722,1.018835585372507,1.5390594093007899,1.8025364422678831
1.5903475151999538,1.129456922180112,1.5687926671908454,2.897964242727608,0.7158641712881414,1.5097939982382043,2.5031956756903777,1.6063456235879248
0.5521116028583312,0.5242402600011415,1.371013361202058,3.745204579089215,2.4013305739827966,1.380429591392069,1.5682259750467804,2.2368480442719783
0.38269218091649154,2.2130739630938416,1.0926862196395992,1.3369872501002498,1.512786121370678,2.422974856411719,2.4976214376980312,1.514482978407656
1.0485396113717855,1.66287633004264,1.2475775544092589,-0.0051411597674541065,1.2717589986046356,0.39431443828883417,2.328313286458152,0.6393830706398419
0.9454014191080522,1.4681670109651483,1.0932691871505698,1.3189128541335586,3.3605549961367105,1.5274811629745972,2.0602271066342963,1.8823594845530183
0.12268920701911508,1.2360247035055327,1.9087379067181889,3.068487686250105,3.147393715901605,0.41782076309517624,2.277298861752197,2.1202992697239282
0.7825311169309463,0.3805338049344559,1.6184673728798347,1.1552894157054439,2.298387057747555,1.6877235712940604,1.8375520571509376,1.477397606322895
1.1813527010224838,1.2717814073835125,1.16728507429372,2.6145196718320327,1.8545517560866227,0.602299725480387,2.09178789485177,1.5662029635567742
1.8726638602476073,1.0240483506970897,0.8811358673020954,2.6310837364921897,2.500788106017087,0.8917098793724698,2.3091005553438153,1.7949227742149116
1.8476280041360857,1.3324997719385088,1.6441345233395148,3.487708152759089,2.3227769597904233,2.474368368909505,2.809352810652469,2.336843229120113
1.062026940506864,1.621376556592198,2.1185732819062055,-0.2086326404418239,0.2238984063358923,2.4537051933416327,2.871430986709584,1.1873961820404821
1.1088757895654298,1.4347425140725951,2.2181195514933876,3.204916525910528,3.489252612081589,1.3944929539296163,2.8649862029491406,2.3715701317603024
0.1616057209910218,1.8002990471450555,1.9297907429775134,1.9494127084946666,3.802821030247077,1.7989527968715704,2.6441038897687297,2.2264821371980688
1.3489173302811293,1.268640074371319,1.1344109868588768,0.41238277416100766,1.333742781324918,3.2140033529137733,2.1716155021872003,1.682667600030753
1.3015332839594174,0.801796978812224,0.8487378749331044,3.8082704116558497,1.1905515876470487,2.649014844553339,1.7484917113994443,2.2998284912880513
1.0472734208766148,1.7984401434383768,0.7951753265762301,3.1490325439816678,0.30423277848057206,1.1022253599615954,2.2278851782802613,1.6087646396232391
0.9893270166819429,0.6499728062471726,0.8627156783785473,3.73043229474407,1.593593464835756,1.9162383745074179,1.4647562720527176,2.1543570381771184
1.339000984389844,0.43384258092271905,1.9829726128987741,1.952900209125925,0.5446299990547825,2.811436285530311,2.4317325931782157,1.6644710225979813
0.33659126934950717,0.3589907224225135,0.19529571644495386,-0.06744563340725535,0.8943267949349363,1.2261947482755198,0.5294416287462655,0.729511186390382
0.8801533206840557,1.238470036997682,1.2802717056231565,3.7008041842805746,2.9760306945452912,2.3012823043057535,1.9868501555656974,2.5340960643171013
0.3696173174114163,0.6550296184166332,2.2101968262593186,4.018181291106485,-0.07225478933285837,2.542594918388306,2.3346628821181477,2.2836376540750156
0.4228351938019398,1.0959544979256304,0.38965519726230297,1.6951910104513221,0.9878782850308788,1.8527814907457314,1.2376336434480395,1.2958592629766732
0.8562720151007439,1.7409595540326144,0.6853192187760647,0.08415304827077359,2.605018705790829,0.41413311530758795,2.057621044858835,1.2672807582297267
1.8093013477319975,1.7266552824124173,0.9739690122140382,1.0479282584622225,3.299618597412253,0.9925962342910111,2.683938424766991,1.729442363388594
0.6567752247414893,0.9762177422041728,1.9065303198741932,2.701886967966648,-0.5996241391473802,3.3674081426369225,2.2403599346149807,2.0930940154055815
1.1350865722350099,1.2232259381077593,1.7144013217886231,2.6682253851600137,2.2837150567973707,1.3420918474504393,2.3924621447952754,1.80544577440981
0.8161034537025761,1.2090208016422144,1.0032442984023195,1.2961423412615745,0.5118026501007776,2.878251051811453,1.7703828027366335,1.5356054315071226
1.9789409939683533,0.8664712462936504,0.39790335980106417,1.0077283279320544,0.24412304673515112,3.0265379560464583,2.1966581349866665,1.5362651365337545
0.854201269101166,1.0824418314693476,1.592951159730789,2.001003688548301,0.7668700261796841,3.1391108497705105,2.1068539398677886,1.8251432328586212
0.5243525812657078,1.241392813694081,1.4253456193907779,2.5178387400037585,2.74292355421904,0.647173302420669,1.9615330438429526,1.814744296540703
1.384265896629656,0.5208545510844954,0.38247671618143786,2.6137587543829,2.4131946937133,2.398833011021342,1.5276681492975732,2.0603641995645248
0.25724312157119267,1.0899340905471961,-0.059558702289382426,2.9258960854752116,2.0489859082295787,2.780261974484729,1.1214622527535334,2.173613928170502
0.15776264989383892,1.118131497210752,0.683170831227063,0.395421764216618,3.2250011100063936,1.4122668874301412,1.3197838775328936,1.701253067066861
1.0306330883075892,1.0434843339245987,0.565332736364271,0.520822334401452,1.006900041386001,3.746808896915356,1.571834985189481,1.8797619429717494
1.6740904026098222,1.659949566494478,1.6690547400090692,2.080080418034969,3.8490614582108686,2.1950785390846916,2.8885558614231894,2.35054270093277
1.1055903777665133,1.0364139558761156,0.921222685856278,2.1760907170785457,0.9722789113862472,0.30857890882962097,1.773452905571765,1.1540691165556336
1.4866087885023123,0.6414084148917343,1.8420393495766592,3.630375357343085,3.103688840225031,3.129327757467389,2.452451714129157,2.741982982975118
1.5697324298765376,1.7909296930993621,0.20977087200928202,0.7966163251787253,2.4639326234526537,4.52310151585334,2.3907097033673095,2.5027544386445055
0.5672309191640795,0.3069233829033457,-0.02073215185914183,1.487101230264146,2.946661750106883,3.6660267554689936,0.6452772278248092,2.3688000136097664
1.2130979774754782,0.9759494720335755,2.3626045674728884,0.26520994392333697,1.947755564746948,2.929187995871105,2.829484832467116,1.693968497769616
1.1002535551488617,1.5028176857883926,1.909039172185035,1.8344349612389328,1.1742107513402116,1.0252586831292023,2.6671050679103385,1.1559816682463786
0.3205556800690977,1.4611841361686806,1.135283257602181,3.398965992890578,2.5626044530741887,3.4721392282460326,1.8779465111678222,2.6378476761294607
0.6044451566712497,0.1890538204889412,1.6844840485219952,2.0029100979269456,3.0323422546379457,0.44532396015133724,1.7996060136012682,1.7581491676415095
0.9823548116005836,0.6593725441143012,1.6408157602830764,1.8451005257786732,0.9525748828632226,0.7110844209450147,2.022886424641758,1.0539725045165496
0.18789545278554892,0.5484002114441792,1.8704109979617578,0.7125428744816455,0.33702723968250686,2.911714226876071,1.9581840552884209,1.4485294046010688
0.9520437671505161,1.4145115016160323,0.568566762761628,1.8667868001316834,3.464923914475884,1.7171401212818287,1.7973586972252995,2.0620153092343134
0.7702627006556114,1.5247233876535573,1.8004192466696056,3.8074651494511738,1.8175554182665874,3.6025762647564457,2.4818532391455714,2.6640816640083043
1.2755572626250105,1.8862853616400743,0.7855071850005876,4.132852536829046,2.454582578438054,2.992125843132797,2.408763237319223,2.718887892683793
1.5504783653356544,1.3304417743600918,1.60455965178013,1.7700671147901044,3.0477234827744355,2.162171243110411,2.597820269467679,1.9855369269995442
0.5081797851059078,1.172549245351848,1.5933755260864264,2.6119964741100006,0.20691527914874613,1.6763223377870216,2.042538615031958,1.4936735313931848
0.18835338456742384,1.6108193404825943,0.9619214294823352,1.3388370658634436,4.005966452787333,0.8563086987721741,1.8856056803181633,2.069514036934664
1.40062027556042,1.3209350477264536,1.506206452482067,2.065835944424549,3.585334593622468,4.225724781278403,2.444435401912198,2.840045693318558
1.4070853844757303,-0.18001714594171356,0.8129000445587958,2.934861169877461,1.476375933457724,1.6546509790318913,1.6349623648518354,1.7663863801955328
0.8388084327659497,1.3002593952912473,0.8956772250511191,0.8475279484748388,0.9149706408210576,1.1457460848661343,1.7878791271777021,0.8132549300477525
0.846682044900288,0.6473435416816942,1.6675270486151308,3.830607990816162,1.0550746194109406,0.9146680362877238,1.979032744543814,1.9578557138530146
2.2040197752305066,0.35772790166331564,0.8705948858366129,4.831737462064025,2.7559704165612686,1.525647528474146,2.396582541136532,2.76973975266224
1.0464705196989303,0.35096083603081174,1.1490494177353026,1.955403232385219,0.04196329070036636,4.135644338814301,1.5932948946834147,2.1968210656559575
0.5833110701484268,0.8770640302111972,0.43262720685558453,3.4150943874271187,2.3630510754082708,1.2895060281365258,1.1387095405588183,2.088159629143481
2.082984783925604,1.125934494627251,0.6168231401557711,2.2723808184338816,1.2049100190233206,-0.27476030959230135,2.446839774584504,1.2421308310669787
1.7405605296073559,0.5869957859456395,0.8395166137822211,2.164585115566242,0.9014229800574827,0.17832207453273682,2.0196294597676436,1.1292124615721206
0.5808137389906523,0.05988388161632954,0.46348271466442315,3.7389502125045104,0.601983000863476,-0.07985733787353105,0.7454843428741097,1.818966505749669
1.7535069492746067,1.3284744851520849,1.3356056981866948,1.7970660786508665,2.3885114307456,2.748830159003233,2.573611015651589,1.9500162397796224
0.7472024698192472,1.7573189290925177,1.360622511347952,3.541282060129216,0.0974016162071989,0.9342164992866213,2.3447334534734785,1.7593202813913096
0.8739088117380637,0.7613482755416459,1.9211238711173682,0.9594835710658172,2.8806750961043606,2.8160595582974,2.243676611296881,1.9885743704847387
-0.05739145680169899,0.350132520900475,1.5680639494043107,3.562029803435948,0.6994500004486052,3.348201876833294,1.6077036763431836,2.3714125194504376
1.0975614878467037,1.617566035594408,0.3590584375146065,4.6434122589826705,1.233326978850695,0.7236668421838761,1.9874818390776077,2.3330987554433533
0.36655631850907294,0.9926364304681452,1.1416378403404606,1.8469506783385992,2.5561503634299836,3.998788821400199,1.5566077143033492,2.445502708609789
1.4324025227065735,0.5333663307695478,0.2089939449890413,0.8867019395359119,2.9506734558503274,2.711341607829479,1.5427038273423739,1.9708113409056818
1.8293704815099245,1.2607349410441677,0.5937293826169803,1.4176771979496074,3.1387212481247144,2.01877740000466,2.2996877027049205,1.9170014468936007
1.5819849972764666,0.28082334401589404,1.864342181421637,1.3354786907420513,3.4027986384068027,3.6159669034740225,2.461160305949224,2.4690712611697516
1.107128572779208,0.08158333240685553,0.7827071241168991,2.0028777639700452,3.573572843948046,3.052408880592429,1.3583151176859074,2.453208298850907
0.7408290157092903,0.394976689983115,1.5986961242372237,3.2417727272553942,3.097073560045661,0.4414013150409085,1.8057307423306317,2.1633375602896265
1.4657136017432089,2.0793426212321706,1.1088869324059516,3.993935779820231,0.7114520136606769,0.5105704338228236,2.7751778911753395,1.9634428452384576
1.2004239350236614,1.3253921476553847,0.6946694622810942,2.0949089328796986,0.5005949934393072,3.5822151187961615,1.918397151444442,2.007180614003455
0.3349658018075216,1.8456438626304832,0.5713478095405115,0.02949089970448938,1.9061548806755015,2.688476516813706,1.96087778189077,1.5826331142150971
1.6611113071117092,1.1166222561848735,1.847983490159326,1.533502420378059,1.2683945548910902,0.7371068313503991,2.7241841012536603,1.0190838894613325
1.7386315257860383,1.5508157497920434,1.1544345099903137,3.7109445050799494,1.1930611499317179,0.7412458661866119,2.6001130956396343,1.9053648625925261
1.250224476991568,2.0864045639972844,1.444176191698987,2.47371370376122,0.7166713399431173,0.9676920796862762,2.82874355857998,1.3211414500815073
1.8533025895806254,0.936435359309699,1.629759793885324,0.687122267006827,3.1128443073865593,2.3344408528010296,2.6396512376594132,1.8973363693112375
1.668261207898344,0.17000966252212166,0.5919418133371168,2.407651704995067,4.472443364077155,0.6961127187720982,1.7783120798965972,2.461886011743728
0.9841122184853506,0.10883646649248019,1.887642682633833,3.0095240754435038,1.6152048482762464,3.7478308703844925,2.1315527514729213,2.434962417334831
1.6220110450938345,1.4643210832890763,0.1334613001600789,3.054982271666228,2.3667961693072384,3.1551034276351357,2.189284811076829,2.3956745016720955
1.8478059520493604,1.4345551287996214,0.6815471853441583,1.301970449429174,0.882785972304847,0.7457530888315096,2.436563526741071,0.8359582728887673
0.7244314627890454,0.4430613604854537,0.7148184484669,3.7751342958759837,2.497072938747022,3.6895361201671704,1.1099863637462053,2.804119500009753
1.2031369548045887,1.6380699580255544,1.6653946548235212,0.9866859958492017,1.0978431149822747,1.1790259192774075,2.627613189896309,0.9071710032066543
1.2586834914731928,1.9642814174519876,1.067296615977297,3.3115422313344127,2.6594000293859787,1.3803528496318658,2.565503397996371,2.14451194526608
1.3505725636009926,1.2323790172722586,1.4531875198761375,1.4852283040697885,1.8756603161511403,0.3773077308923971,2.335499573900294,1.1630700724313925
0.47119620221525,1.5730096873493549,1.2410203869705811,2.88727980105492,2.7309240748914716,2.358346654040321,2.0582800922988107,2.219129186205459
0.3008851634450533,1.4007285768888023,0.9179119707772666,-0.6316591452259901,0.07939472669391959,0.6383527777402718,1.7015095691151698,0.4329231098486794
1.7543676987723216,0.42026731341878165,0.23035490800252179,3.097122040758547,0.5318172012985014,1.6686637988882147,1.818651704110708,1.7085529464665044
0.973115383503855,1.6285243060834413,1.9081063087668952,0.19668468440408793,0.7362073066066345,3.492336294649447,2.690708949454109,1.7164748165488317
1.7957805070541961,0.028742202638262826,0.7201034706692802,4.056623841224236,1.2950123023912516,1.9097373654195966,1.9349942512054827,2.2410613322443784
1.0234339424194225,0.8462825788397181,1.6432131369060767,0.9983426775440521,2.271301086730692,3.003186273776718,2.112761380526555,1.8705972235969903
1.8549586889739154,0.13360965308234654,0.9749989203081006,3.6723129731742694,2.22372601114458,0.6474611355501512,2.0998443208482325,2.084862962376884
0.5768534763302361,1.51649863547182,2.4668225395026258,2.3896493276406794,1.2724879369022073,1.636816957109374,2.9525821725974626,1.5191922310656305
0.9255923209906612,0.46131100137737874,2.1665235982565156,4.76452972512882,-0.05015622019540071,3.5776803245549815,2.4006985413564608,2.861239257414955
0.2574096448171893,0.012741221770649458,1.6166434430499699,1.480302593453189,3.207914180802739,2.4395331263702076,1.6370577527789243,2.0616893129823772
0.41446608104378707,1.6005147585582198,1.6133314890554649,1.0112085797834667,0.7235296208451217,1.8872560149147668,2.310036388950701,1.0852682801014601
1.08451985004818,1.8471462356206443,1.4341001420591981,1.2619420905728962,0.31987921434614147,2.208644951492352,2.577746251742063,1.231121493893842
1.8049653785748552,1.410225940068135,0.2921802896536355,3.1506280251326233,1.9745426529456946,1.7545754376854177,2.3091138000447287,1.9743021460569887
0.8844531217965464,0.7224637549568617,1.4087661052369256,3.911293125498712,2.8378723605584892,1.7807436644948038,1.8135140311413203,2.4730382970337845
0.5388211422617692,0.677861226382487,0.6257499945793793,0.6291887044051453,4.952787946129509,2.535044623195828,1.0683572067886005,2.6887905190148307
0.6116342082649059,1.086775809016863,1.4893173402536792,1.5418404496653508,0.5437235479289619,4.478473423109103,1.9424840292173289,2.2893780028680037
1.2222501006076547,1.5704393003717467,0.20662122360295831,1.430033044363823,2.789788431260763,0.0565854319518706,2.0007166802500316,1.5056454524448146
1.1799505747946692,1.7773692884787227,1.4596909640864226,4.382279316889981,-0.15050375653908518,1.0531503571259742,2.584960861835471,2.165487428550278
0.42991452340780045,1.9216011848911414,1.327404197790322,1.9151065430126781,1.0287701738034998,-0.1095665497294536,2.374737778265921,1.045247434634033
0.4438645120132018,1.6751794861184952,1.781777513862162,0.5160932161457567,2.4293991801200856,1.2465890232793293,2.4855528810793324,1.334427904240879
1.749306763388009,1.922189754199846,1.3390216930464813,2.95580097604468,0.5756113068834096,4.516844414721053,2.9236734937463456,2.6068207220316824
1.1982087006262745,0.05810974320014631,0.5174627188910632,4.111930314705059,1.5144165181092941,0.34458333583658235,1.3064641204232987,2.1107010930925765
1.5008339866929816,1.508278545782289,0.527539165199852,2.0739016752851613,3.5451087744835443,2.1296108693061657,2.19219168826534,2.221620445336467
1.9412160673827892,0.17046401368915254,0.57364797822027,0.7552232917168217,0.08780073657009052,2.6784822743199506,2.031366486664659,1.3370192860029726
1.8884787620841559,1.5071298793223558,0.5990262832267701,1.6211417335649236,1.3808863420104875,2.8890772543731003,2.4893021102280057,1.7234875541523136
0.013467577985710966,1.2536552666915006,1.2729914041587258,3.515429195447047,0.29107139845738894,2.8398388710243063,1.7867120692551846,2.174599354595048
1.711115426972005,0.45810565332106323,1.8781243970417272,2.499120155158157,0.8706515782937835,2.0665442379860814,2.58169092743296,1.6123709388138037
1.1265765509497179,1.3018277735791914,0.21480416272970712,3.385780613089821,2.652563290633362,3.363268575176905,1.7349556494440794,2.621868322748099
1.6767342771573717,1.1643467081652283,1.5591287673133098,0.35340094933594096,0.8534436934171241,3.529847786660337,2.568661831785877,1.752107064898931
0.675353691655117,0.9844527715228388,1.4578939605401788,1.792968544253666,2.0062189155273105,0.9472814571704415,1.8843313584321422,1.369787729837236
1.5419966278194888,0.5748793248842003,0.7359052481640653,1.8004627609304296,1.5996278374227637,2.9518939624304137,1.802719160785008,1.8294357515220887
0.2655993588358573,1.2935591414605718,0.5661780699624922,3.043049851426686,1.7233580867653973,2.96056437584106,1.4368005702868727,2.200289552713906
1.2755923496455275,0.6106282420323222,2.3090600066139824,1.4413467224799024,3.5652699251221422,1.3583833274410304,2.7077224389855483,1.9584726305813236
1.465400206396687,1.5751020332904848,0.30438095777730334,1.4176484117177126,4.478683225005805,2.777305612784966,2.1727843767020927,2.6205742287316633
0.9963604168734275,0.5214758198447567,0.1738055323688426,-0.22002771155870005,1.0385428160930437,4.120691067516248,1.1379277103915555,2.04336287070959
1.4895914348509796,0.5800525942106283,1.6364099638388137,1.6843901559983252,1.7820264918295772,1.3130760447722767,2.287614745664756,1.3356922586619593
0.39513472441019293,1.0575612460309582,1.0709636475638724,3.398695654349668,4.475302603554456,0.8115241210565424,1.556126721685797,2.726500632819469
1.079012210173212,0.4473376634694917,1.3001110078983182,2.722013623661907,3.2282679887388195,3.144288878959754,1.7477605578910416,2.5281294942284047
1.9610226362406715,0.07602014449435612,0.8862945290597527,1.9015832985940706,2.0168012092845102,2.6072861351987475,2.1533478201299725,1.8273733641383045
0.34951281573766907,1.5245526918059402,0.4478961796796727,2.3725655115705413,2.249669411668897,2.0748608414166796,1.6269699155882562,1.8595008611749353
1.5182800047118161,1.2283896326702197,0.7956633238760779,1.211019846118813,0.23681332715888256,4.022286820461779,2.1088374492409123,2.020345376244444
0.9370836720720933,1.7906832664882673,0.76374293750504,4.069781796708019,0.19607038405456445,2.9467761873117926,2.160549847592977,2.4146449452113545
0.6476169518008833,1.611888991553334,0.5216488010686439,0.2525878883614581,1.068537905813335,3.3003370597075796,1.8137561327276182,1.670223091641641
1.1040498473169653,1.6918911009844255,0.128269774242042,1.260802380760018,0.22304786396506643,2.4832310723415993,2.0243207991657375,1.341622348390464
1.4500383457447243,1.7552877428781668,0.9513320763464664,3.7050985617230214,0.043081004961514166,3.147826480197165,2.4675248699687113,2.334697172276254
1.7408590997711708,0.2822496640453044,1.460935974426654,1.743172452847042,3.748143284483964,1.8637646228558271,2.2901068096234587,2.1774179942023584
-0.047023754403776596,0.25621975444490497,2.1044462350793856,1.390898018139487,1.6935528438432077,1.5212788031334337,2.120507899628255,1.2810616409366984
0.5319382488494591,0.9858878830966294,0.9146762104067193,1.3909108592654966,3.3078582015162827,3.6838990552289865,1.446224667370108,2.46953409559244
0.8092550861135648,0.29555725917638315,0.2775175345767868,3.706576259695805,2.937839194797431,0.38616514134735147,0.9051319626718013,2.27873203342841
1.1328283604121718,0.6752856728300713,1.772261375187245,2.774522624307308,0.12888855677398128,1.6536490857639057,2.209122272773573,1.5522499415179196
0.32367587772639267,0.7948353993370437,1.7726250296083261,0.644410635484018,0.3669285124750903,3.1790441401366283,1.9694488775937158,1.5675556352971527
1.8961835518202488,0.6103658175357493,0.30028688876854975,5.095915812368504,1.918122231170692,1.7661025501731424,2.014505077922623,2.7487640108885163
0.9104840650097319,1.6756976633284162,0.7961261787369905,3.6397608734029334,2.0765148133085245,0.47391179616792944,2.0665819083673704,2.025072120220884
0.2873268323008744,1.6085385423194196,0.34558483565829506,4.222667175126351,0.9802681905569098,2.5900943006954416,1.670144254046371,2.4249069588812637
0.5853943912721712,0.4026557651390837,1.5303722850233223,0.27617336497322764,0.2951938959457562,2.060142380659441,1.6872633431981392,1.0081433435011569
1.6149331225889796,0.911541368595218,2.177248764368975,0.5598563865938623,3.7795223788685948,0.4554399818083218,2.859952593845161,1.84771552918195
1.198595233232261,1.1385228949196624,0.869022254974944,0.7370963774419181,1.947144049079315,2.4548281036272206,1.8676360981264748,1.545678812577615
0.4147262672217108,0.1739374095134239,1.5836004871964469,3.7282017646791155,0.262761900209347,2.4442439754596577,1.6462207027615459,2.144445620502911
0.6982744137679917,0.6269128028321189,1.8779715388496807,2.9034945644122256,1.8132493592128671,1.9173430320470912,2.0993770314089115,1.8840919877134714
1.4915757264984126,0.7426526415982218,0.6118787123805094,2.4968284484994965,1.1438453422778097,2.4156671264420924,1.7750286343088988,1.756372442168154
1.8610488473849545,0.8858551530519626,1.7929726641151977,1.4013745587041186,3.2487839221725716,4.205241492257501,2.7318479347880866,2.6390206050741813
1.8401954966300667,1.1777258669890442,1.5380126929022317,2.0499585019820343,0.3602934218812744,0.8988816905817297,2.6718609108860902,1.0887002910004158
0.5762505813759378,1.3807411187311553,1.3484440419182466,1.2766173700814831,1.5633899201874681,0.8655927148472999,2.0141529494246178,1.054601841252505
-0.0016563777140613523,1.0711247070580714,0.8926205508654674,3.8922359337535988,2.4599147256574785,2.2200207973004904,1.3943035284631327,2.454619294598364
1.8271954743473893,1.3480010268851776,1.802993603597533,1.566783579888896,0.1450582598390852,4.246185009603227,2.8994026978970497,2.174508690900683
-0.10646343154446991,0.44318141488494645,0.7034163275685309,2.2239940228789665,2.1254355052284173,2.487149662819336,0.8381758518626302,1.8996433957945167
1.5456346327751502,0.8797805392328579,0.6480030749877642,1.4558108048591758,2.720935267227138,2.094421481760817,1.8928571526769868,1.7909220365861773
0.9337044329062655,0.14331498073676696,0.2963240756162932,2.95667345514225,3.374376656926595,2.24143471972694,0.9900258125535117,2.408300771731085
1.0027947868457807,1.13260039987745,0.06661038095084135,3.5778921309611578,2.3568306374880126,2.307531873244645,1.5142053999302905,2.336782360409373
0.480050603660667,1.7537454277257978,2.0488431193593666,1.3751337647588255,0.8030799764787326,2.5544681781154264,2.7393119090549605,1.4454899520635425
1.0461725483060653,1.4967238394301512,1.9145967159896897,0.8141907618533057,1.6116390110672982,2.5442249692286087,2.645815533484193,1.4981416263018812
1.2995926656285801,1.4989037526294398,1.6108948105378154,2.330432729470263,0.2705111106507565,2.2655786847781347,2.5555108387208767,1.5661366687822753
